,store,store_type,assortment,date,dataset,sales,predictions,error,error_rate
0,1,c,basic,2015-09-17,forecast,,4764.425,,
1,3,a,basic,2015-09-17,forecast,,8125.5713,,
2,7,a,extended,2015-09-17,forecast,,8986.62,,
3,8,a,basic,2015-09-17,forecast,,7009.709,,
4,9,a,extended,2015-09-17,forecast,,7867.517,,
5,10,a,basic,2015-09-17,forecast,,5779.97,,
6,11,a,extended,2015-09-17,forecast,,8607.906,,
7,12,a,extended,2015-09-17,forecast,,8175.16,,
8,13,d,basic,2015-09-17,forecast,,5350.1807,,
9,14,a,basic,2015-09-17,forecast,,6028.648,,
10,15,d,extended,2015-09-17,forecast,,7322.3125,,
11,16,a,extended,2015-09-17,forecast,,7866.7593,,
12,19,a,extended,2015-09-17,forecast,,6886.263,,
13,20,d,basic,2015-09-17,forecast,,8643.612,,
14,21,c,extended,2015-09-17,forecast,,5975.572,,
15,22,a,basic,2015-09-17,forecast,,4858.8545,,
16,23,d,basic,2015-09-17,forecast,,5970.923,,
17,24,a,extended,2015-09-17,forecast,,10210.091,,
18,25,c,basic,2015-09-17,forecast,,11985.711,,
19,27,a,basic,2015-09-17,forecast,,10386.127,,
20,29,d,extended,2015-09-17,forecast,,6982.9097,,
21,30,a,basic,2015-09-17,forecast,,5238.049,,
22,31,d,extended,2015-09-17,forecast,,6308.31,,
23,32,a,basic,2015-09-17,forecast,,4374.269,,
24,33,a,extended,2015-09-17,forecast,,8581.486,,
25,35,d,extended,2015-09-17,forecast,,12988.123,,
26,36,a,extended,2015-09-17,forecast,,9768.936,,
27,38,d,basic,2015-09-17,forecast,,6186.4126,,
28,39,a,basic,2015-09-17,forecast,,5905.757,,
29,40,a,basic,2015-09-17,forecast,,4508.964,,
30,41,d,extended,2015-09-17,forecast,,5620.601,,
31,42,a,extended,2015-09-17,forecast,,10842.476,,
32,43,d,basic,2015-09-17,forecast,,6790.0537,,
33,45,d,basic,2015-09-17,forecast,,5666.4478,,
34,46,c,basic,2015-09-17,forecast,,5922.782,,
35,47,a,extended,2015-09-17,forecast,,8964.337,,
36,48,a,basic,2015-09-17,forecast,,4112.9023,,
37,49,d,extended,2015-09-17,forecast,,7673.553,,
38,50,d,basic,2015-09-17,forecast,,4561.2554,,
39,51,a,extended,2015-09-17,forecast,,7402.9863,,
40,52,d,extended,2015-09-17,forecast,,8155.573,,
41,53,a,extended,2015-09-17,forecast,,6582.81,,
42,56,d,extended,2015-09-17,forecast,,7817.5796,,
43,58,a,extended,2015-09-17,forecast,,7229.1904,,
44,61,a,extended,2015-09-17,forecast,,6183.127,,
45,62,a,basic,2015-09-17,forecast,,6633.84,,
46,63,c,extended,2015-09-17,forecast,,7978.603,,
47,64,d,extended,2015-09-17,forecast,,12167.694,,
48,66,d,basic,2015-09-17,forecast,,6121.709,,
49,67,a,extended,2015-09-17,forecast,,9309.756,,
50,68,a,extended,2015-09-17,forecast,,7437.3755,,
51,69,c,extended,2015-09-17,forecast,,9289.32,,
52,70,c,extended,2015-09-17,forecast,,6445.74,,
53,71,a,basic,2015-09-17,forecast,,10271.763,,
54,72,a,basic,2015-09-17,forecast,,5586.735,,
55,73,a,extended,2015-09-17,forecast,,5017.5625,,
56,74,a,basic,2015-09-17,forecast,,6288.3413,,
57,75,d,extended,2015-09-17,forecast,,6576.177,,
58,76,d,extended,2015-09-17,forecast,,9654.274,,
59,77,d,extended,2015-09-17,forecast,,8422.986,,
60,79,a,basic,2015-09-17,forecast,,5472.2656,,
61,80,d,basic,2015-09-17,forecast,,7358.993,,
62,81,a,basic,2015-09-17,forecast,,7161.3647,,
63,82,a,basic,2015-09-17,forecast,,11705.248,,
64,83,a,basic,2015-09-17,forecast,,3888.241,,
65,84,a,extended,2015-09-17,forecast,,14611.854,,
66,86,a,basic,2015-09-17,forecast,,5458.253,,
67,89,a,basic,2015-09-17,forecast,,6360.3604,,
68,90,a,basic,2015-09-17,forecast,,8876.364,,
69,91,c,basic,2015-09-17,forecast,,5263.8433,,
70,92,c,basic,2015-09-17,forecast,,6890.028,,
71,93,a,basic,2015-09-17,forecast,,6254.025,,
72,94,d,extended,2015-09-17,forecast,,7307.4443,,
73,98,d,extended,2015-09-17,forecast,,7202.301,,
74,99,c,extended,2015-09-17,forecast,,6094.228,,
75,100,d,basic,2015-09-17,forecast,,7677.726,,
76,101,d,extended,2015-09-17,forecast,,7797.689,,
77,102,a,basic,2015-09-17,forecast,,7734.69,,
78,105,a,extended,2015-09-17,forecast,,4976.0483,,
79,107,a,basic,2015-09-17,forecast,,7391.881,,
80,108,d,extended,2015-09-17,forecast,,12842.66,,
81,109,a,extended,2015-09-17,forecast,,6601.3335,,
82,110,a,extended,2015-09-17,forecast,,4403.726,,
83,111,d,extended,2015-09-17,forecast,,6981.5044,,
84,112,a,basic,2015-09-17,forecast,,6182.702,,
85,113,d,extended,2015-09-17,forecast,,5777.3247,,
86,115,d,extended,2015-09-17,forecast,,7554.196,,
87,117,a,basic,2015-09-17,forecast,,4228.739,,
88,118,d,extended,2015-09-17,forecast,,8140.0537,,
89,119,a,extended,2015-09-17,forecast,,6217.422,,
90,120,d,basic,2015-09-17,forecast,,7713.3325,,
91,122,a,extended,2015-09-17,forecast,,6415.972,,
92,124,a,basic,2015-09-17,forecast,,5063.1934,,
93,126,d,basic,2015-09-17,forecast,,6416.6577,,
94,127,d,basic,2015-09-17,forecast,,5914.207,,
95,128,d,extended,2015-09-17,forecast,,8087.0366,,
96,129,a,basic,2015-09-17,forecast,,9043.11,,
97,130,c,basic,2015-09-17,forecast,,5443.072,,
98,131,c,basic,2015-09-17,forecast,,5163.4253,,
99,132,d,extended,2015-09-17,forecast,,6924.418,,
100,135,d,basic,2015-09-17,forecast,,6091.462,,
101,136,a,extended,2015-09-17,forecast,,6326.206,,
102,137,a,basic,2015-09-17,forecast,,7930.7812,,
103,139,a,basic,2015-09-17,forecast,,7359.7373,,
104,140,a,extended,2015-09-17,forecast,,9003.479,,
105,141,c,extended,2015-09-17,forecast,,5884.8667,,
106,142,a,basic,2015-09-17,forecast,,5077.795,,
107,143,d,basic,2015-09-17,forecast,,7018.145,,
108,144,a,extended,2015-09-17,forecast,,8149.0728,,
109,145,a,basic,2015-09-17,forecast,,8159.191,,
110,146,d,extended,2015-09-17,forecast,,8930.406,,
111,147,d,extended,2015-09-17,forecast,,8139.8364,,
112,149,d,basic,2015-09-17,forecast,,6118.58,,
113,150,c,extended,2015-09-17,forecast,,9294.921,,
114,152,a,basic,2015-09-17,forecast,,5796.644,,
115,153,a,basic,2015-09-17,forecast,,8590.757,,
116,154,d,extended,2015-09-17,forecast,,8842.016,,
117,155,d,basic,2015-09-17,forecast,,6962.99,,
118,157,a,extended,2015-09-17,forecast,,10538.849,,
119,158,d,extended,2015-09-17,forecast,,8459.974,,
120,159,d,basic,2015-09-17,forecast,,8123.8745,,
121,160,d,extended,2015-09-17,forecast,,6418.586,,
122,161,a,extended,2015-09-17,forecast,,7675.4126,,
123,162,d,extended,2015-09-17,forecast,,8667.702,,
124,164,a,basic,2015-09-17,forecast,,7452.2017,,
125,165,a,basic,2015-09-17,forecast,,4004.3503,,
126,166,a,extended,2015-09-17,forecast,,6193.5684,,
127,168,a,basic,2015-09-17,forecast,,7760.0723,,
128,169,d,basic,2015-09-17,forecast,,7187.08,,
129,170,a,basic,2015-09-17,forecast,,5071.5166,,
